CBRO-2021 (Brazil),Aves Argentinas
Pyrrhura roseifrons,
Pyrrhura egregia,
Pyrrhura melanura,
Pyrrhura rupicola,
Anodorhynchus hyacinthinus,
Anodorhynchus glaucus,
Anodorhynchus leari,
Eupsittula aurea,
Eupsittula pertinax,
Eupsittula cactorum,
Aratinga weddellii,
Aratinga nenday,
Aratinga solstitialis,
Aratinga maculata,
Aratinga jandaya,
Aratinga auricapillus,
Cyanopsitta spixii,
Orthopsittaca manilatus,
Primolius maracana,
Primolius couloni,
Primolius auricollis,
Ara ararauna,
Ara severus,
Ara macao,
Ara chloropterus,
Guaruba guarouba,
Thectocercus acuticaudatus,
Diopsittaca nobilis,
Psittacara leucophthalmus,
Euchrepomis humeralis,
Euchrepomis spodioptila,
Myrmornis torquata,
Pygiptila stellaris,
Microrhopias quixensis,
Myrmorchilus strigilatus,
Neoctantes niger,
Clytoctantes atrogularis,
Epinecrophylla gutturalis,
Epinecrophylla leucophthalma,
Epinecrophylla haematonota,
Epinecrophylla pyrrhonota,
Epinecrophylla amazonica,
Epinecrophylla dentei,
Epinecrophylla ornata,
Epinecrophylla erythrura,
Aprositornis disjuncta,
Ammonastes pelzelni,
Myrmophylax atrothorax,
Myrmochanes hemileucus,
Terenura sicki,
Terenura maculata,
Myrmotherula brachyura,
Myrmotherula obscura,
Myrmotherula ambigua,
Myrmotherula sclateri,
Myrmotherula surinamensis,
Myrmotherula multostriata,
Myrmotherula cherriei,
Myrmotherula klagesi,
Myrmotherula axillaris,
Myrmotherula sunensis,
Myrmotherula minor,
Myrmotherula longipennis,
Myrmotherula urosticta,
Myrmotherula iheringi,
Myrmotherula oreni,
Myrmotherula heteroptera,
Myrmotherula fluminensis,
Myrmotherula unicolor,
Myrmotherula snowi,
Myrmotherula behni,
Myrmotherula menetriesii,
Myrmotherula assimilis,
Formicivora iheringi,
Formicivora erythronotos,
Formicivora grisea,
Formicivora serrana,
Formicivora littoralis,
Formicivora melanogaster,
Formicivora rufa,
Formicivora grantsaui,
Formicivora paludicola,
Formicivora acutirostris,
Isleria hauxwelli,
Isleria guttata,
Thamnomanes ardesiacus,
Thamnomanes saturninus,
Thamnomanes caesius,
Thamnomanes schistogynus,
Dichrozona cincta,
Rhopias gularis,
Megastictus margaritatus,
Sakesphoroides cristatus,
Dysithamnus stictothorax,
Dysithamnus mentalis,
Dysithamnus xanthopterus,
Dysithamnus plumbeus,
Herpsilochmus pectoralis,
Herpsilochmus roraimae,
Herpsilochmus longirostris,
Herpsilochmus sticturus,
Herpsilochmus frater,
Herpsilochmus rufimarginatus,
Herpsilochmus stictocephalus,
Herpsilochmus dorsimaculatus,
Herpsilochmus praedictus,
Herpsilochmus stotzi,
Herpsilochmus atricapillus,
Herpsilochmus pileatus,
Sakesphorus canadensis,
Sakesphorus luctuosus,
Thamnophilus doliatus,
Thamnophilus capistratus,
Thamnophilus ruficapillus,
Thamnophilus torquatus,
Thamnophilus palliatus,
Thamnophilus schistaceus,
Thamnophilus murinus,
Thamnophilus cryptoleucus,
Thamnophilus nigrocinereus,
Thamnophilus punctatus,
Thamnophilus stictocephalus,
Thamnophilus sticturus,
Thamnophilus pelzelni,
Thamnophilus ambiguus,
Thamnophilus caerulescens,
Thamnophilus aethiops,
